Metric,Value
VaR (95.0%),-0.02096407344066785
CVaR (95.0%),-0.029718713909752507
VaR (99.0%),-0.03397434618138011
CVaR (99.0%),-0.042880855180428216
Tracking Error,0.006918519538387654
Beta,1.0245376944411517
Information Ratio,67.33422666348433
Treynor Ratio,0.4124720496536231
