Ticker,Optimal Weight
NVDA,0.03185183814518087
TSLA,0.09999999999999983
ANET,0.023832035024030564
NUE,0.03250576688286441
FCX,0.010000000000000165
TMUS,0.045820205813038854
NFLX,0.09999999999999974
PDD,0.09999999999999995
TSCO,0.09999999999999985
KR,0.010000000000000078
WMT,0.010000000000000082
TRGP,0.010000000000000099
EQT,0.09999999999999991
PGR,0.010000000000000018
MCK,0.010000000000000096
LLY,0.02617893862572017
CARR,0.09999999999999991
PWR,0.010000000000000057
PSA,0.0636599989669379
IRM,0.01000000000000003
PANW,0.015462529798697269
CRWD,0.01000000000000008
NRG,0.05757682597687245
PCG,0.01311186076665837
